"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SGIP1",1501.08546420901,-0.487748080141038,0.151668758388221,-3.21587705552759,0.00130046532193764,0.0169986944719764
"SLC45A1",273.696421694083,-0.597598897470171,0.16504069110371,-3.62091853514261,0.000293558945766186,0.00637148309890772
"STMN1",4104.40770327216,-0.636910237225331,0.198929430404128,-3.20168934245394,0.00136624253011137,0.0175687618278305
"EPB41",491.573820102944,0.666253616693449,0.204530719411843,3.25747456719146,0.00112408330868321,0.0155333576324034
"KHDRBS1",1225.9444813504,-0.487722454777031,0.123359986700285,-3.95365197275841,7.69673391707206e-05,0.00275801951719168
"THRAP3",1928.40400955223,-0.260010926192389,0.0846841860340492,-3.07035986728202,0.00213800989579658,0.0234200133195716
"SCP2",659.370545389254,-0.349922059313925,0.106678329023095,-3.28016067104098,0.00103747984072455,0.0147585789833436
"PKN2-AS1",18.5063429702988,-0.947450919545838,0.258054952225605,-3.67150837980248,0.000241123170717074,0.005601520223833
"WDR3",248.296714434087,-0.440668288800334,0.120037756583192,-3.671080677811,0.000241527079446148,0.00560433326265207
"NBPF10",83.301061718813,0.71481101107801,0.21104443089188,3.38701669623406,0.000706570876560202,0.0114390592237884
"TPM3",1683.60966788621,-0.338490753125612,0.107695839028751,-3.14302535899505,0.00167211353054623,0.0199006616944769
"SMG5",2237.05232782307,0.343462629796597,0.0924602344405399,3.71470645596809,0.000203439716292531,0.00500493149050008
"TNN",11.3605937337425,-1.15581244563319,0.3268711412586,-3.53598803853652,0.000406253087557602,0.00781078933328128
"EPRS",1452.25633455216,-0.386278934013868,0.131989122614491,-2.92659672526272,0.00342692924276063,0.0315998277685178
"MTR",1558.53203732137,-0.349205069339821,0.126540825061064,-2.75962377494621,0.00578679612505548,0.0434643370217286
"DFFB",176.438841489537,0.531689098958629,0.117602084130849,4.52108568388168,6.15232774695002e-06,0.000534712836112112
"DNAJC16",642.878407035107,-0.236003955518648,0.0819796181950054,-2.87881257213548,0.00399175491087314,0.0348406374770861
"SPEN",5117.29242677967,0.316946707295928,0.0978013968346606,3.24071759252832,0.00119229238463784,0.0161171786069147
"NBPF1",807.126217328865,0.568586123256929,0.20676785802083,2.74987673954454,0.00596176860339711,0.0441144162228966
"ARHGEF10L",990.129497673678,0.628230949424913,0.16117831515042,3.89773865571565,9.70951176209635e-05,0.00319077421356055
"CAPZB",1421.70318659325,-0.376120797814825,0.0932317846141441,-4.0342550490851,5.47757967762319e-05,0.00223380669515643
"HP1BP3",2736.16830924892,0.374142533547862,0.0940522777490193,3.97802735353491,6.94893792056473e-05,0.00258349256724035
"ZBTB40",988.124737317825,0.527478000066288,0.101796660266709,5.1816827652723,2.19892978112373e-07,6.40794007981585e-05
"CDC42",899.85177469143,-0.584753162793852,0.171254743275908,-3.41452243370426,0.000638939316020446,0.0105863055905194
"IFNLR1",52.5327757800528,0.67455197469741,0.220784742266881,3.05524724114324,0.00224875059605082,0.0242840554830207
"RHCE",19.4848751284476,-1.17159695858538,0.290615322883147,-4.03143560003018,5.54371876819293e-05,0.0022511133424285
"TMEM222",471.703323299311,-0.379550511454681,0.0970790901753519,-3.90970404408516,9.24092698333934e-05,0.0030845541935104
"SNHG3",145.891026582237,0.41207652589377,0.123895912646096,3.32598967224086,0.000881051930736172,0.0132666603795349
"RCC1",122.948595399324,0.979886646460501,0.184413923540645,5.3135176978355,1.0752898722599e-07,4.17802825660828e-05
"SRSF4",1114.91453278793,0.20240879156236,0.0702524824760225,2.88116212308146,0.00396211783128867,0.0346642854263238
"COL8A2",84.4461367751718,0.862541881717935,0.2899551599975,2.97474230748427,0.00293234765702282,0.0286525646802584
"SNIP1",218.750890918233,-0.31820921900663,0.103554461982766,-3.07286825612194,0.00212012063967019,0.0233013369915167
"ERI3-IT1",72.9010281263915,1.02889186308922,0.194168666404438,5.29895931275605,1.16464580939362e-07,4.3328209836862e-05
"ERI3",1022.40736674072,-0.19736859653605,0.0686058705067758,-2.87684705518834,0.00401670227495129,0.0350021865789071
"ZCCHC11",1006.26622246412,0.399614144259835,0.116329852444772,3.43518139034477,0.00059215732268853,0.0100550038615218
"CYB5RL",103.504291146896,0.299465056647223,0.0802964420405908,3.72949347488946,0.000191865074525336,0.00486811564250199
"DNAJC6",5417.58390673745,-0.622811638465217,0.221592549895147,-2.81061632604489,0.00494467109176748,0.0393045663184691
"LRRC40",225.582806444667,-0.622121417793231,0.167625406764063,-3.71137901946381,0.000206133182260287,0.0050304619946673
"MSH4",42.1952387063589,0.841269619387373,0.29831253531694,2.8200947656912,0.0048009468986942,0.0385867542355284
"MIGA1",1053.55035003942,-0.700348649743369,0.236333971727565,-2.96338543555092,0.0030427530306682,0.0292837270790292
"PRKACB",3898.00908067313,-0.580142320518554,0.209070856634524,-2.77485982435467,0.00552255051217747,0.0421075954669805
"LOC105378828",38.2468769924106,-0.363262582529891,0.132049031059778,-2.7509674218317,0.00594195523477696,0.0440006670150748
"LRRC8B",1604.7207731563,-0.741762584227684,0.165415521760773,-4.48423809526432,7.31749206863923e-06,0.000604180928467312
"BCAR3",376.653197452377,0.694247517144347,0.166154944388793,4.17831392076933,2.93678126486869e-05,0.00152343606137796
"MTF2",326.495260483117,-0.322798213431035,0.112867495362485,-2.85997498566206,0.00423674425048497,0.0361409057544598
"OLFM3",477.395635905888,-0.971217185037516,0.348043105908859,-2.7905083265515,0.00526253465925139,0.0408630042350022
"LINC01356",20.477881176569,0.612560243272029,0.220754238302964,2.77485156335412,0.00552269078616685,0.0421075954669805
"ATP1A1",6339.53892860377,-0.540089018057945,0.196312233917362,-2.75117351211691,0.0059382180647328,0.0439894314656991
"WARS2",82.7569769890708,-0.416447570209607,0.152750567769078,-2.72632420482506,0.00640440578788859,0.0463343209539249
"PDE4DIP",2975.98902834861,0.585315575137042,0.113243350101745,5.16865294616557,2.35787283963237e-07,6.60941996636648e-05
"LOC100996724",196.828080589096,0.522696476483999,0.163067381060246,3.2054017982351,0.00134874060767883,0.0174114943855138
"RORC",9.9102822637357,1.20039022103698,0.433520109204877,2.76893780830288,0.00562393692727217,0.0425574123365035
"NUP210L",84.2569435451269,1.10610470298393,0.327991494955677,3.37235788121093,0.00074527538211704,0.0119003843449083
"SYT11",9986.91251790244,-0.687373245464941,0.162048469272668,-4.24177561534594,2.21758343238841e-05,0.00124839867318775
"IQGAP3",37.457879643523,-1.13137355969985,0.357309258128464,-3.16637068299274,0.00154353959578573,0.0188717966797439
"SPTA1",2.9181084437295,-3.34198108711494,0.845535222646228,-3.95250368950417,7.73377363339342e-05,0.00276377220507836
"CD244",8.03591640352304,-1.24149336120339,0.330599845059262,-3.75527508484116,0.000173151194873412,0.00456271818831322
"PFDN2",353.575796500397,-0.400721624939979,0.119959365051544,-3.34047804244211,0.000836342938402077,0.012748439744135
"MAEL",31.5397797192689,-0.760545862345546,0.244927159469528,-3.105192025224,0.00190155530290958,0.0217760103502723
"TIPRL",296.249316388914,-0.559007004356293,0.172401177461426,-3.24247787971963,0.00118495146456646,0.0160718673660841
"LINC00970",4.72344128351166,-1.10179767731623,0.39980756452351,-2.75581998712144,0.0058545207796588,0.0437290553221707
"ATP1B1",4912.05163371609,-0.790187688786933,0.23538814260308,-3.3569562172865,0.000788055906189366,0.0123088615250196
"KIFAP3",1436.03245961556,-0.523442297066669,0.179599432176839,-2.91449861907845,0.00356260384914988,0.0323096374712833
"SLC9C2",20.780243249549,0.637909143919375,0.235115885257754,2.71316905372023,0.00666430985492903,0.0476063316817858
"LHX4",33.5723952872805,0.746053025227029,0.174457430388566,4.27641874333102,1.89923833688001e-05,0.00116746245019073
"RGL1",1981.83802385065,-0.297147541565865,0.103927192920971,-2.85918952695877,0.00424724946100495,0.0361837899051049
"GLRX2",60.8457272767422,-0.584458402938,0.206759486944963,-2.82675494882407,0.00470222963606945,0.0381938288654934
"ZC3H11A",1408.48012216793,0.371110908389773,0.0966679621424675,3.83902691403422,0.000123522891285065,0.00367196654415607
"SOX13",529.039787065193,0.523683535566979,0.179075158216257,2.92437846088379,0.00345144832610199,0.0317225881400914
"GPATCH2",329.234768794724,-0.461506014186706,0.107053175833816,-4.31099788111959,1.62519463111842e-05,0.00105752367492841
"LOC102723886",6.33898907794489,1.18099651937954,0.417882148573561,2.82614733223439,0.0047111589521385,0.0382138050739158
"RAB3GAP2",886.359881571628,-0.332826410877471,0.117339446057544,-2.83644095877401,0.00456194121621146,0.0375257065755278
"DISP1",134.88203753174,0.343805670894143,0.119739028462445,2.87129163572572,0.00408798185506145,0.0353898857317159
"ITPKB",7454.98131551512,0.539236433934903,0.175244203510073,3.07705717583924,0.00209055197624097,0.0231561643159257
