"","logFC","logCPM","LR","PValue","FDR"
"LOC101926975",1.99518864607252,-0.33167748816587,42.9942596565779,5.4900714479294e-11,7.97341849852685e-07
"GMNC",-2.28291189396041,-1.13453771983176,42.0634147740908,8.83609457379343e-11,7.97341849852685e-07
"LOC100506136",-1.55094865544278,1.24712852249894,41.4534421293806,1.20711826279676e-10,7.97341849852685e-07
"ADAMTS2",-1.56374122159542,3.74900571738095,40.3061375579295,2.17125795329127e-10,1.0756411900605e-06
"DNAH11",-1.24438571271794,2.57062312923088,39.2942339295099,3.64516172771989e-10,1.44465049592994e-06
"LOC100129316",-1.79440387447369,1.1459827365521,37.9600394073191,7.22085448521182e-10,2.38480754131596e-06
"TRAF3IP2-AS1",-0.599818389778942,4.63613878541315,34.9927725723373,3.30931392602022e-09,9.36819496543097e-06
"PRKX",-1.0008232489069,4.54658929676085,34.0325428821252,5.41979838646763e-09,1.34248406032803e-05
"TRAPPC1",0.625202904659981,4.8254992130722,32.8804615108337,9.80033137084538e-09,2.15781518271858e-05
"GAS2L3",-1.13808128602249,1.32926480943542,32.3513839811425,1.28665537881058e-08,2.45432771613679e-05
"FAM106B",-1.24100902427797,0.53863267462653,32.240215439543,1.36241445687851e-08,2.45432771613679e-05
"MED29",0.642567978902794,6.43376617830742,32.0042298604917,1.53837246311993e-08,2.54036572743204e-05
"TUBB1",-0.979765237358548,2.09025279616737,31.8267714841385,1.68553410513629e-08,2.56927260210621e-05
"C6orf118",-1.34586267290943,0.858378018025211,31.426051021832,2.07182365752015e-08,2.68749465618238e-05
"CCDC144CP",-0.881120144870096,4.56271681695398,31.3759285302699,2.126004390878e-08,2.68749465618238e-05
"ZNF449",0.900385207286017,3.07097554456067,31.3361971636848,2.16995935097488e-08,2.68749465618238e-05
"CRH",2.29902611622484,0.292491485651237,31.0096433914677,2.56749596323849e-08,2.99279411809023e-05
"FAAHP1",-1.58367736837876,0.665610091145493,30.8270945925933,2.82071899499631e-08,3.10529820026927e-05
"PPEF1",1.74312313629377,1.63854302836561,30.3983176896614,3.51833152184876e-08,3.6633903689665e-05
"RBM14",-0.843391072335007,6.1764201645888,30.2143207683466,3.8684251228042e-08,3.6633903689665e-05
"GSS",0.745452191607835,4.55875817332095,30.1671688149563,3.96362725279477e-08,3.6633903689665e-05
"SPECC1L",-0.623574703663414,5.15219213160352,30.1171679342728,4.06714715973269e-08,3.6633903689665e-05
"SGO1",-1.78547772793932,0.00611498910007685,30.004026849879,4.31150021160968e-08,3.71463861709814e-05
"LHX4-AS1",-0.944138489223683,2.80155508498075,29.4488168179085,5.74130795671211e-08,4.7404066029253e-05
"MRGPRF",-1.41984402371054,2.06585967965137,29.0325383847636,7.11727421053232e-08,5.29271624598766e-05
"LINC00484",-1.52436058578035,-0.613045295176812,29.0085982919178,7.20577545440155e-08,5.29271624598766e-05
"DNA2",-0.831275044014331,3.44982712865827,29.0070564777732,7.21151285030616e-08,5.29271624598766e-05
"UCKL1-AS1",-1.78684460594065,3.46244185563909,28.9245970769539,7.52512357301833e-08,5.3256374543904e-05
"PCYOX1L",0.973946866433335,4.04337254450418,28.7212791938778,8.35802896059638e-08,5.6052475372712e-05
"MTSS1L",-0.894338603911354,9.93831321858168,28.6520781905796,8.66209817027045e-08,5.6052475372712e-05
"SH2D3A",-1.79192954453843,-0.195933693270774,28.5782511441341,8.99872586968232e-08,5.6052475372712e-05
"GNRH1",-1.29928523744063,1.46553071645296,28.566891920445,9.05167143685297e-08,5.6052475372712e-05
"SST",2.17409480731747,3.56340960821876,28.4949210921814,9.39445999172856e-08,5.6412308847301e-05
"RASSF3",-0.871120986540704,3.86159152374773,28.2849536237508,1.04706711897641e-07,5.85793239721666e-05
"C2orf16",0.82595131435113,2.4774704865036,28.2667772084556,1.05694550049091e-07,5.85793239721666e-05
"LOC100506860",-0.995774362694739,4.03132274451914,28.1655391797563,1.11369914154726e-07,5.85793239721666e-05
"FOXJ1",-2.19653689953288,2.56859451863851,28.1505176996486,1.12237644093771e-07,5.85793239721666e-05
"ALB",1.8158568434318,-0.155334742810954,28.0805442684417,1.16369868704789e-07,5.85793239721666e-05
"ERI3-IT1",-1.02244333481453,2.40865473821826,28.0620769285199,1.17485644861183e-07,5.85793239721666e-05
"RBM3",1.5298610662205,5.42556442621145,27.9989282874259,1.21382656697821e-07,5.85793239721666e-05
"ARMCX5",0.8709580645871,3.31767352846781,27.9680152122839,1.23337322182637e-07,5.85793239721666e-05
"FAM118A",-0.922440524537948,4.2246083146647,27.8898410255958,1.2842226825811e-07,5.85793239721666e-05
"FAM86B3P",1.35618098972514,1.13765111057202,27.7930113554382,1.35012937607507e-07,5.85793239721666e-05
"DHRS7B",0.609864783925523,3.41603942716126,27.7776121369646,1.36091880550748e-07,5.85793239721666e-05
"LOC100130075",-1.10839690060272,0.403535490092322,27.7412497033215,1.38674023784952e-07,5.85793239721666e-05
"RCC1",-0.972501160582917,3.1522327468805,27.7405222959985,1.38726175754814e-07,5.85793239721666e-05
"GDF11",-0.874829977623066,5.65565779825618,27.7375475594623,1.38939656171368e-07,5.85793239721666e-05
"FIBP",0.659880768378715,5.13067130719494,27.62024663518,1.47625418837635e-07,6.09446937434704e-05
"FLCN",-0.815983244061449,6.84658638434964,27.1291231733336,1.90309262881139e-07,7.69626194541357e-05
"TEKT2",-0.899366742194893,1.4394983156422,27.0132665023533,2.02063855618428e-07,7.87631267690744e-05
"NIT2",0.783664257995844,3.35134047066623,27.007086594237,2.02710913666875e-07,7.87631267690744e-05
"C1orf226",-0.732652504872344,3.2008188354868,26.7638353867925,2.29899793897735e-07,8.51399735011348e-05
"SERPINF2",-1.37442895014794,1.72222375369504,26.7628494401758,2.30017123428186e-07,8.51399735011348e-05
"RAD52",-0.699648095222666,4.79467026447539,26.7461590589637,2.32012442928002e-07,8.51399735011348e-05
"LRRC46",-1.42513221887065,1.58970287474824,26.6114423309377,2.48766079016976e-07,8.96281567600072e-05
"THRSP",-1.70065360331766,0.561848216727285,26.5500481303678,2.56798320482107e-07,9.08699199763113e-05
"DPH2",0.609908089920486,3.9831497756914,26.1544925258777,3.15163004413691e-07,0.000109566142025644
"RPH3A",1.48234521702709,7.48961059357767,25.7576696522604,3.87085703010291e-07,0.000132249832600895
"CDC42BPG",-2.95775859263106,1.12064225580761,25.6684027757204,4.05410866993302e-07,0.000136163080344733
"SAMD4A",-0.805745159829206,7.06636046655705,25.6335156436776,4.12806825570385e-07,0.000136336334258379
"LOC283440",-1.20640861718077,0.987222352663353,25.5907689756381,4.220536432262e-07,0.000137105163838859
"PCDHGA1",-0.738809304725583,2.33643621805134,25.3717443933608,4.72792765610663e-07,0.000151110668440982
"ZNF341-AS1",-1.5002591409865,-0.901614308302538,25.2203170046113,5.11406113021843e-07,0.000160857516438743
"NEAT1",-1.27980464950876,10.9517294899459,25.0897518638819,5.47229128411608e-07,0.000169435818884444
"LYRM9",1.14486747542826,4.41452718509544,25.048216734505,5.59144427675951e-07,0.000170461630443487
"JDP2",-0.891427082909799,4.94966680418078,24.7185819736124,6.63414583929684e-07,0.000192349011567245
"ACP2",0.611742357398642,4.76517866772163,24.7158132513916,6.64368298920783e-07,0.000192349011567245
"ANAPC16",-0.539360373923254,4.78545404735292,24.7033349266747,6.68683674953566e-07,0.000192349011567245
"CCNA2",-1.09787686839398,1.94949670652963,24.7002181273776,6.69765936523006e-07,0.000192349011567245
"FH",0.755101800056556,4.96892025237167,24.5781494913283,7.13562842154058e-07,0.000195944428246688
"TOP3B",-0.655769107068848,4.209725379907,24.5653670903432,7.18311989789989e-07,0.000195944428246688
"SH2D7",-1.43212826954784,0.599822435820799,24.5646492867934,7.18579618968715e-07,0.000195944428246688
"NLRP14",1.26804869108089,0.15232630505546,24.5372596081666,7.28866754894385e-07,0.000195944428246688
"PRR35",-5.23301633919094,1.04356610725503,24.5297149393385,7.31726266161431e-07,0.000195944428246688
"PPP1R2P3",1.17257960585196,0.605845157508354,24.4474169052682,7.63658302934953e-07,0.00020124749839214
"CRTAM",-3.65498456991787,0.641633191923414,24.4268820199865,7.71841435092987e-07,0.00020124749839214
"C3orf62",-0.766482941183409,3.27658406144755,24.3981349386487,7.83445037051365e-07,0.000201620089015712
"SMG1P7",-0.986631683284134,2.50633259159176,24.3173703130244,8.16989894036635e-07,0.000207557330002948
"RWDD2B",0.940477090979148,2.6088550016421,24.2687735572852,8.37864303478731e-07,0.000210166063768792
"SPDYA",-1.04926187829801,0.378357826423244,24.2393941712821,8.50742563732211e-07,0.000210728933036469
"SPACA6P-AS",-1.12498857714839,1.56316500985766,24.109636612351,9.10037469609156e-07,0.000222633364170062
"TCP11",1.68407837455507,-1.0708385832708,24.0840321055593,9.22218628688163e-07,0.000222862004220544
"HSPB7",-1.07198516450296,1.46621893457322,24.0316075743547,9.4767173648729e-07,0.00022534928007888
"SLC35G6",-1.40700545371965,0.417056577233086,24.0162608163429,9.55255325324277e-07,0.00022534928007888
"LINC-PINT",-0.654178052051786,6.65030533542967,23.9299379533183,9.99059763901818e-07,0.000232910215076217
"ZIC4",-2.44823602646854,2.6184060063263,23.8537277148071,1.03940401737754e-06,0.000239498023352946
"F8",0.785074797132833,3.78789765357759,23.7820053286538,1.07886380239477e-06,0.00024573293227879
"LINC01561",-1.30186953981135,2.8662252236367,23.6090097138296,1.18033565783254e-06,0.000265790129495564
"FOXN3",-0.547600530868954,6.56327277695434,23.5388937226281,1.22413994548399e-06,0.000272556822019222
"LBX2",-1.42988182954447,0.391955848277492,23.495054374222,1.2523527907649e-06,0.000275740254464413
"C16orf71",-1.19648148286682,2.30237880185459,23.4272502645199,1.29727794768077e-06,0.000282492964958704
"ZBTB40",-0.523833147181644,6.13904002021115,23.3888441471617,1.32343822182975e-06,0.000285057084823678
"TRIP10",-0.948159603571933,3.74305702557533,23.3332496133745,1.3622465012216e-06,0.000290261039443088
"ZNF596",0.731357429469144,2.42085912863921,23.2601290681137,1.41503228404913e-06,0.000298300848305507
"FUCA1",0.642317636541099,2.96406582675073,23.220116449912,1.44478092957829e-06,0.000300550596238017
"LOC101929549",-1.00960401533827,0.711521719299767,23.2051900100026,1.45603841536383e-06,0.000300550596238017
"TFDP2",-0.480712233278333,6.01597438579589,23.1611976393717,1.48973173346563e-06,0.00030433529928201
"LINC01338",-1.66553398325351,0.429071320185179,23.0855338711468,1.54952134296436e-06,0.000313319540124304
"C17orf58",0.656432685590313,2.49621549395025,23.0266977982373,1.59767240129011e-06,0.000319792689939038
"KANK2",-0.852864236353281,5.64875166540687,22.9409362539822,1.67056030904502e-06,0.000331038230840361
"ZNF441",0.742666330107839,4.06943960686965,22.9073008817673,1.70004906669984e-06,0.000333546260452713
"HMGCS1",1.08097745593391,6.28998826033302,22.8666161345062,1.73641677531192e-06,0.000335736488498337
"PPP1R2",0.761220509587769,4.75354897509164,22.8570309914441,1.7450978156706e-06,0.000335736488498337
"ITGA10",-1.05971355737395,3.26492548643947,22.8302220221722,1.76960992826307e-06,0.000337178753254432
"HIF3A",-1.18785094969739,6.44362529069766,22.8079093600652,1.79027409188309e-06,0.000337867346711956
"ARL6IP6",-0.632721484757216,3.88412949257654,22.7308077787461,1.86356059029564e-06,0.00034838034582357
"KLF15",-0.912797938778838,5.89461067686815,22.6508099059432,1.9427831102606e-06,0.000356476159430143
"VGF",2.08952094459974,5.97549683610739,22.650748264363,1.94284543896121e-06,0.000356476159430143
"PROC",-0.869290435156552,1.13045767020188,22.6243904866842,1.96968167891379e-06,0.000356534268527296
"STK38",-0.588137711194503,4.5802197314322,22.6151801414496,1.97914662585802e-06,0.000356534268527296
"PDE4DIP",-0.58260666487789,7.72886605941548,22.5973541744626,1.99759515588538e-06,0.000356615726207429
"COX19",-0.542078035144407,4.74081535172525,22.5533891037877,2.0438364833279e-06,0.000361613069228801
"SLC25A25-AS1",-0.954714288021794,3.7301251055859,22.5059880828991,2.09489539764445e-06,0.000367366789378075
"PRR34",-1.54554746431728,1.9005352180972,22.3779144919992,2.23934381829922e-06,0.000382896088625565
"PTOV1-AS2",-1.05767685076859,3.16131730676686,22.3701323395534,2.24843626161162e-06,0.000382896088625565
"GJA9-MYCBP",-1.08449645696103,0.497618070340673,22.3610233416363,2.25912601036342e-06,0.000382896088625565
"PSMA5",0.875573052028018,4.63821743020066,22.3469316621498,2.27576365572887e-06,0.000382896088625565
"BARHL2",-4.53856601450506,-0.142749740418592,22.3278464640061,2.29849315847861e-06,0.000382896088625565
